p_rocnik;Meno;žiaci;chlapci;dievèatá;PVZ;PVD;P;NP;dochádzka;priemer
druhý;II;13;7;6;3;6;4;0;723;1,87
druhý;II.A;30;15;15;14;14;2;0;1617;1,54
druhý;II.B;30;14;16;13;10;7;0;2375;1,64
druhý;II.C;29;6;23;6;13;10;0;2362;1,82
druhý;II.D;28;16;12;5;10;13;0;1694;1,97
druhý;II.E;29;15;14;9;11;9;0;1601;1,81
druhý;II.F;29;16;13;4;5;20;0;2225;2,34
druhý;II.G;30;7;23;11;10;7;2;1713;1,68
piaty;V;23;13;10;4;4;14;0;1398;2,3
prvý;I;28;9;19;21;7;0;0;1104;1,23
prvý;I.A;24;8;16;6;8;10;0;1659;1,91
prvý;I.B;25;9;16;7;9;8;1;1812;1,83
prvý;I.C;28;13;15;3;9;16;0;2229;1,93
prvý;I.D;24;9;15;5;10;9;0;1364;1,77
prvý;I.E;26;6;20;13;10;3;0;1797;1,47
prvý;I.F;26;12;14;9;7;9;0;1929;1,83
prvý;I.G;27;7;20;8;8;10;1;2184;1,91
šiesty;VI;30;13;17;8;7;14;1;2066;2,21
štvrtý;IV;33;11;22;15;8;10;0;1973;1,78
štvrtý;IV.A;0;0;0;0;0;0;0;0;
štvrtý;IV.B;0;0;0;0;0;0;0;0;
štvrtý;IV.C;0;0;0;0;0;0;0;0;
štvrtý;IV.D;0;0;0;0;0;0;0;0;
štvrtý;IV.E;0;0;0;0;0;0;0;0;
štvrtý;IV.F;0;0;0;0;0;0;0;0;
štvrtý;IV.G;0;0;0;0;0;0;0;0;
tretí;III;26;10;16;7;6;13;0;1376;1,98
tretí;III.A;30;16;14;10;18;2;0;2914;1,61
tretí;III.B;29;18;11;12;10;6;0;2120;1,67
tretí;III.C;29;6;23;14;6;9;0;2591;1,72
tretí;III.D;32;8;24;9;15;8;0;2496;1,74
tretí;III.E;30;12;18;13;9;8;0;1740;1,5
tretí;III.F;31;9;22;9;16;5;1;2800;1,71
tretí;III.G;32;10;22;16;10;5;1;2340;1,53
